"   ","BUSINESS_FLAG","BUSINESS_NAME","BUSINESS_GROUP"
"338","1258","存管银行发起开通存管关系","Dd"
"339","1259","存管银行发起身份确认","Dd"
"340","1260","存管银行发起账户资料修改","Dd"
"341","1261","存管银行发起银行账户变更","Dd"
"342","1262","存管账户银证验证码开户激活","Db"
"343","1263","存管银行发起客户资料查询","Dd"
"344","1264","存管银行发起联合销户","Dd"
"345","1265","存管银行发起客户换卡","Dd"
"346","1266","存管账户同步结息","Dd"
"347","1267","存管银行发起预约开户","Dd"
"348","1268","存管账户冻结","Dd"
"349","1269","存管账户解冻","Dd"
"350","1270","外币存管账户开户","Dd"
"351","1272","外币存管账户信息同步","Dd"
"352","1273","外币存管账户销户","Dd"
"353","1274","外币存管账户身份确认","Dd"
"354","1275","外币存管账户签约开户","Dd"
"355","1276","外币存管银行账户变更","Dd"
"356","1277","外币存管账户强制开户","Dd"
"357","1278","外币存管账户强制销户","Dd"
"358","1279","外币存管账户强制修改","Dd"
"359","1301","客户关系人开户","Dh"
"360","1302","客户关系人销户","Dh"
"361","1303","客户关系人修改","Dh"
"362","1305","客户关系人冻结","Dh"
"363","1306","客户关系人解冻","Dh"
"364","1307","客户关系人挂失","Dh"
"365","1308","客户关系人解挂","Dh"
"366","1309","客户关系建立","Dh"
"367","1310","客户关系解除","Dh"
"368","1311","客户关系修改","Dh"
"369","1313","客户关系人扩展信息修改","Dh"
"370","1314","客户关系人关系建立","Dh"
"371","1315","客户关系人关系修改","Dh"
"372","1316","客户关系人关系解除","Dh"
"373","1317","客户关系人关系转移","Dh"
"374","1318","客户关系人销户取消","Dh"
"375","1319","客户关系人正常","Dh"
"376","1320","客户关系人锁定","Dh"
"377","1321","客户关系人休眠","Dh"
"378","1400","融资行权合同录入","Dz"
"379","1401","融资行权合同变更","Dz"
"380","1402","融资行权合同撤销","Dz"
"381","1405","限制性股票融资合同录入","Db"
"382","1406","限制性股票融资合同变更","Db"
"383","1407","限制性股票融资合同撤销","Db"
"384","1410","暂停上市债券投资者登记","Db"
"385","1411","暂停上市债券投资者注销","Db"
"386","1412","暂停上市债券权限手工开通","Db"
"387","1413","暂停上市债券权限手工取消","Db"
"388","1414","暂停上市债券权限开通","Db"
"389","1415","暂停上市债券权限取消","Db"
"390","1416","暂停上市债券投资者修改","Db"
"391","1417","优先股权限手工开通","Db"
"392","1418","优先股权限手工取消","Db"
"393","1420","创业板申请信息登记","Db"
"394","1421","创业板普通信息修改","Db"
"395","1422","创业板关键信息修改","Db"
"396","1423","创业板申请信息撤销","Db"
"397","1424","创业板权限手工开通","Db"
"398","1425","创业板权限自动开通","Db"
"399","1426","创业板风险等级设置","Db"
"400","1427","创业板风险揭示书签署","Db"
"401","1428","创业板申请信息审批","Db"
"402","1429","创业板申请信息核查","Db"
"403","1430","创业板登记信息申报","Db"
"404","1431","创业板登记信息回报","Db"
"405","1433","风险警示债券投资者登记","Db"
"406","1434","风险警示债券投资者注销","Db"
"407","1435","风险警示债券权限手工开通","Db"
"408","1436","风险警示债券权限手工取消","Db"
"409","1437","风险警示债券权限开通","Db"
"410","1438","风险警示债券权限取消","Db"
"411","1439","风险警示债券投资者修改","Db"
"412","1440","综合业务协议签署","Db"
"413","1441","综合业务协议注销","Db"
"414","1442","综合业务协议作废","Db"
